GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,RWA,Rwanda,,MLE,Male,,35.2,35.17697,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,AGO,Angola,,FMLE,Female,,43.7,43.6941,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,ARE,United Arab Emirates,,MLE,Male,,64.6,64.60564,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ARG,Argentina,,BTSX,Both sexes,,65.7,65.69818,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,ATG,Antigua and Barbuda,,FMLE,Female,,66.6,66.60417,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AUT,Austria,,MLE,Male,,67.3,67.3496,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,AZE,Azerbaijan,,BTSX,Both sexes,,59.6,59.56761,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BEL,Belgium,,FMLE,Female,,71,70.96938,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BFA,Burkina Faso,,MLE,Male,,42.4,42.36795,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,BGD,Bangladesh,,BTSX,Both sexes,,56.5,56.49453,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,BHR,Bahrain,,FMLE,Female,,62.9,62.88367,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BIH,Bosnia and Herzegovina,,MLE,Male,,62.9,62.90442,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BLR,Belarus,,FMLE,Female,,65.3,65.26725,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,BLR,Belarus,,BTSX,Both sexes,,60.8,60.76788,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,MLE,Male,,54.8,54.77111,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,FMLE,Female,,57.2,57.23922,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BRA,Brazil,,BTSX,Both sexes,,61.5,61.47704,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BRB,Barbados,,MLE,Male,,63.5,63.5209,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,BRN,Brunei Darussalam,,FMLE,Female,,67,66.98809,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,BRN,Brunei Darussalam,,BTSX,Both sexes,,65.9,65.89909,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BWA,Botswana,,MLE,Male,,41.4,41.35123,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BWA,Botswana,,FMLE,Female,,44,44.03598,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CAF,Central African Republic,,BTSX,Both sexes,,39.2,39.2268,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CAN,Canada,,MLE,Male,,68.7,68.65196,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,CHE,Switzerland,,FMLE,Female,,71.8,71.82502,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,CHE,Switzerland,,BTSX,Both sexes,,70.1,70.13602,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,CHN,China,,MLE,Male,,64.1,64.13478,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,CHN,China,,FMLE,Female,,65.6,65.56648,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CIV,C̫te d'Ivoire,,BTSX,Both sexes,,43.1,43.14198,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CMR,Cameroon,,MLE,Male,,42.2,42.24344,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,COD,Democratic Republic of the Congo,,FMLE,Female,,45.4,45.36357,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,COD,Democratic Republic of the Congo,,BTSX,Both sexes,,44.4,44.37563,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,COL,Colombia,,MLE,Male,,60.2,60.21494,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,COL,Colombia,,FMLE,Female,,66.8,66.79991,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,COM,Comoros,,BTSX,Both sexes,,52.3,52.31006,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,CPV,Cabo Verde,,MLE,Male,,59.5,59.50307,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,CRI,Costa Rica,,FMLE,Female,,70.8,70.82629,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,CYP,Cyprus,,MLE,Male,,69.2,69.21778,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,CZE,Czechia,,BTSX,Both sexes,,66.2,66.18722,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,DJI,Djibouti,,FMLE,Female,,51.6,51.63115,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AMR,Americas,,DOM,Dominican Republic,,MLE,Male,,59.9,59.89153,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,AFR,Africa,,DZA,Algeria,,BTSX,Both sexes,,60.7,60.74918,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EMR,Eastern Mediterranean,,EGY,Egypt,,FMLE,Female,,60.3,60.31512,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ESP,Spain,,MLE,Male,,68.3,68.32314,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,EST,Estonia,,BTSX,Both sexes,,62.6,62.55572,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FIN,Finland,,FMLE,Female,,70.9,70.89364,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,France,,MLE,Male,,68,67.99712,,,,,
WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,FSM,Micronesia (Federated States of),,BTSX,Both sexes,,58.7,58.67116,,,,,
