Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Oku Volcanic Field,Cameroon,CMR,6.25,10.5,3011,Stratovolcano,4,1986,1900s,37
Oku Volcanic Field,Cameroon,CMR,6.25,10.5,3011,Stratovolcano,4,1986,1900s,1196
Oku Volcanic Field,Cameroon,CMR,6.25,10.5,3011,Stratovolcano,4,1986,1900s,300
Oku Volcanic Field,Cameroon,CMR,6.25,10.5,3011,Stratovolcano,4,1986,1900s,17
Oku Volcanic Field,Cameroon,CMR,6.25,10.5,3011,Stratovolcano,4,1986,1900s,52
Tseax River Cone,Canada,CAN,55.12,-128.9,609,Pyroclastic cone,3,1690,1600s,5
Fogo,Cape Verde,CPV,14.95,-24.35,2829,Stratovolcano,2,1847,1800s,10
Llaima,Chile,CHL,-38.692,-71.729,3125,Stratovolcano,2,1937,1900s,3
Villarrica,Chile,CHL,-39.42,-71.93,2847,Stratovolcano,2,1964,1900s,25
Villarrica,Chile,CHL,-39.42,-71.93,2847,Stratovolcano,2,1971,1900s,15
Villarrica,Chile,CHL,-39.42,-71.93,2847,Stratovolcano,2,1971,1900s,15
Lonquimay,Chile,CHL,-38.377,-71.58,2865,Stratovolcano,3,1988,1900s,1
Villarrica,Chile,CHL,-39.42,-71.93,2847,Stratovolcano,3,1948,1900s,54
Villarrica,Chile,CHL,-39.42,-71.93,2847,Stratovolcano,3,1963,1900s,15
"Hudson, Cerro",Chile,CHL,-45.9,-72.97,1905,Stratovolcano,3,1971,1900s,4
Carrán-Los Venados,Chile,CHL,-40.35,-72.07,1114,Pyroclastic cone(s),4,1955,1900s,2
Chaitén,Chile,CHL,-42.833,-72.646,1122,Caldera,4,2008,2000s,1
Villarrica,Chile,CHL,-39.42,-71.93,2847,Stratovolcano,4,1575,1500s,15
Tengchong,China,CHN,25.23,98.5,2865,Pyroclastic cone(s),2,1609,1600s,3
Puracé,Colombia,COL,2.32,-76.4,4650,Stratovolcano(es),2,1949,1900s,17
Galeras,Colombia,COL,1.22,-77.37,4276,Complex,2,1993,1900s,9
"Ruiz, Nevado del",Colombia,COL,4.895,-75.322,5321,Stratovolcano,3,1845,1800s,15
"Ruiz, Nevado del",Colombia,COL,4.895,-75.322,5321,Stratovolcano,3,1985,1900s,24000
"Ruiz, Nevado del",Colombia,COL,4.895,-75.322,5321,Stratovolcano,3,1985,1900s,1000
"Huila, Nevado del",Colombia,COL,2.93,-76.03,5364,Stratovolcano,3,2008,2000s,10
